Data,Valor,Categorias,Forma Pagamento,fonte_pagamento
2025-10-15,961.96,Transporte,Dinheiro,Caixa
2025-07-06,1236.51,Moradia,Pix,Itaú
2025-05-27,935.97,Saúde,Cartão,Itaú
2025-08-28,321.4,Moradia,Cartão,Caixa
2025-09-02,700.67,Serviços,Pix,Itaú
2025-09-06,1352.39,Saúde,Cartão,Caixa
2025-07-17,566.05,Serviços,Dinheiro,Caixa
2025-07-29,168.11,Moradia,Cartão,Bradesco
2025-06-17,1493.2,Saúde,Pix,Caixa
2025-06-21,245.74,Educação,Dinheiro,Santander
2025-07-18,1017.43,Alimentação,Dinheiro,Caixa
2025-08-12,603.03,Educação,Cartão,Itaú
2025-08-14,1354.64,Transporte,Pix,Caixa
2025-07-07,1461.66,Serviços,Cartão,Nubank
2025-05-17,753.46,Transporte,Pix,Caixa
2025-10-07,309.78,Transporte,Pix,Bradesco
2025-11-03,1342.87,Transporte,Pix,Nubank
2025-09-29,764.17,Outros,Dinheiro,Bradesco
2025-09-20,625.24,Moradia,Cartão,Santander
2025-09-25,1234.8,Alimentação,Pix,Caixa
2025-08-22,384.23,Moradia,Pix,Nubank
2025-09-04,1273.82,Alimentação,Cartão,Caixa
2025-09-17,483.01,Saúde,Cartão,Santander
2025-08-28,177.05,Transporte,Dinheiro,Nubank
2025-09-13,365.22,Serviços,Dinheiro,Bradesco
2025-10-13,756.25,Serviços,Dinheiro,Bradesco
2025-06-18,105.11,Outros,Dinheiro,Nubank
2025-10-20,189.91,Outros,Cartão,Itaú
2025-05-16,612.55,Lazer,Pix,Nubank
2025-10-30,174.26,Outros,Dinheiro,Itaú
2025-10-30,436.12,Transporte,Pix,Caixa
2025-06-20,794.93,Moradia,Pix,Bradesco
2025-07-15,64.28,Outros,Cartão,Nubank
2025-10-28,1480.02,Outros,Cartão,Nubank
2025-07-21,37.95,Saúde,Dinheiro,Bradesco
2025-06-29,1258.22,Lazer,Pix,Nubank
2025-06-03,174.53,Saúde,Pix,Santander
2025-09-01,535.96,Outros,Pix,Bradesco
2025-06-01,880.16,Moradia,Dinheiro,Bradesco
2025-10-13,508.31,Transporte,Dinheiro,Nubank
2025-06-23,1096.21,Outros,Cartão,Nubank
2025-06-07,468.48,Moradia,Dinheiro,Bradesco
2025-08-10,98.57,Outros,Cartão,Caixa
2025-09-25,1367.1,Lazer,Cartão,Caixa
2025-09-30,1167.98,Lazer,Cartão,Bradesco
2025-08-09,226.46,Serviços,Cartão,Caixa
2025-10-02,1312.84,Educação,Dinheiro,Bradesco
2025-10-01,944.52,Lazer,Pix,Bradesco
2025-09-23,890.23,Serviços,Pix,Santander
2025-08-11,919.81,Outros,Cartão,Santander
2025-05-29,917.69,Outros,Dinheiro,Itaú
2025-09-05,1188.94,Outros,Pix,Caixa
2025-05-25,1363.55,Lazer,Cartão,Nubank
2025-10-11,1193.4,Serviços,Dinheiro,Caixa
2025-10-13,1454.84,Moradia,Dinheiro,Itaú
2025-11-06,73.99,Saúde,Dinheiro,Bradesco
2025-10-05,857.95,Moradia,Cartão,Itaú
2025-09-29,1468.9,Saúde,Cartão,Caixa
2025-11-06,994.47,Educação,Dinheiro,Caixa
2025-07-03,820.44,Saúde,Pix,Caixa
2025-08-31,1187.24,Transporte,Pix,Caixa
2025-08-31,56.65,Moradia,Cartão,Santander
2025-05-25,611.67,Educação,Dinheiro,Caixa
2025-06-05,48.69,Educação,Pix,Itaú
2025-06-03,1095.5,Alimentação,Cartão,Santander
2025-10-14,1054.4,Alimentação,Cartão,Santander
2025-10-15,299.66,Lazer,Dinheiro,Bradesco
2025-10-03,250.54,Serviços,Dinheiro,Caixa
2025-05-26,296.77,Alimentação,Cartão,Santander
2025-08-21,680.6,Lazer,Cartão,Santander
2025-05-26,465.94,Serviços,Cartão,Itaú
2025-07-12,646.59,Saúde,Pix,Santander
2025-06-27,241.59,Moradia,Dinheiro,Nubank
2025-07-08,1194.7,Serviços,Pix,Nubank
2025-10-15,134.78,Alimentação,Dinheiro,Caixa
2025-10-07,1143.04,Saúde,Pix,Nubank
2025-05-10,1493.05,Transporte,Dinheiro,Itaú
2025-11-03,1128.2,Lazer,Pix,Caixa
2025-09-22,660.64,Saúde,Pix,Bradesco
2025-07-28,403.87,Moradia,Dinheiro,Santander
2025-07-29,952.96,Saúde,Pix,Nubank
2025-06-01,687.12,Transporte,Pix,Nubank
2025-09-03,1185.65,Alimentação,Dinheiro,Caixa
2025-10-28,1347.1,Saúde,Cartão,Santander
2025-10-10,889.12,Outros,Cartão,Caixa
2025-09-11,1056.56,Alimentação,Dinheiro,Bradesco
2025-10-10,754.37,Saúde,Pix,Caixa
2025-07-11,417.32,Moradia,Pix,Caixa
2025-05-19,218.47,Educação,Pix,Bradesco
2025-09-24,1086.65,Saúde,Dinheiro,Nubank
2025-07-09,1334.25,Outros,Cartão,Caixa
2025-06-29,482.51,Alimentação,Dinheiro,Bradesco
2025-06-05,345.72,Lazer,Pix,Itaú
2025-09-26,366.78,Lazer,Cartão,Bradesco
2025-11-05,213.06,Outros,Cartão,Santander
2025-05-30,1125.9,Transporte,Pix,Itaú
2025-10-16,717.38,Moradia,Dinheiro,Santander
2025-10-25,561.45,Moradia,Cartão,Itaú
2025-06-06,30.07,Saúde,Dinheiro,Caixa
2025-07-08,277.02,Alimentação,Pix,Nubank
2025-07-05,668.41,Alimentação,Cartão,Caixa
2025-07-01,1304.95,Educação,Dinheiro,Bradesco
2025-06-29,912.36,Moradia,Dinheiro,Caixa
2025-10-25,326.08,Serviços,Pix,Itaú
2025-08-10,670.08,Saúde,Dinheiro,Bradesco
2025-08-06,507.58,Serviços,Pix,Bradesco
2025-06-04,341.98,Educação,Cartão,Itaú
2025-08-20,803.08,Lazer,Dinheiro,Bradesco
2025-06-14,109.69,Outros,Dinheiro,Nubank
2025-08-25,1313.04,Saúde,Pix,Nubank
2025-07-25,540.24,Saúde,Pix,Nubank
2025-06-06,720.4,Educação,Dinheiro,Itaú
2025-06-03,1359.59,Saúde,Cartão,Itaú
2025-07-26,1477.27,Alimentação,Cartão,Santander
2025-06-11,978.68,Outros,Pix,Nubank
2025-11-03,264.14,Educação,Dinheiro,Itaú
2025-07-14,543.05,Serviços,Pix,Nubank
2025-10-18,567.58,Transporte,Pix,Nubank
2025-07-27,1003.9,Educação,Pix,Santander
2025-05-25,332.15,Transporte,Pix,Itaú
2025-08-31,448.21,Moradia,Cartão,Caixa
2025-07-04,441.11,Lazer,Dinheiro,Nubank
2025-08-30,179.02,Outros,Dinheiro,Caixa
2025-10-30,1379.47,Outros,Pix,Bradesco
2025-10-17,34.04,Lazer,Cartão,Itaú
2025-06-28,1168.86,Moradia,Dinheiro,Caixa
2025-09-12,1227.23,Outros,Dinheiro,Caixa
2025-10-30,1336.94,Saúde,Pix,Itaú
2025-08-04,152.24,Lazer,Pix,Caixa
2025-10-31,1067.11,Alimentação,Pix,Santander
2025-11-03,862.76,Serviços,Cartão,Caixa
2025-06-09,1468.14,Serviços,Dinheiro,Nubank
2025-10-27,1280.94,Outros,Dinheiro,Caixa
2025-08-03,465.76,Alimentação,Pix,Santander
2025-11-01,1172.27,Serviços,Dinheiro,Bradesco
2025-10-02,135.6,Moradia,Pix,Itaú
2025-11-06,518.88,Moradia,Cartão,Nubank
2025-07-22,1089.9,Lazer,Pix,Itaú
2025-08-09,551.43,Transporte,Dinheiro,Nubank
2025-11-05,208.08,Transporte,Dinheiro,Nubank
2025-05-26,606.95,Saúde,Dinheiro,Bradesco
2025-07-23,548.77,Lazer,Cartão,Nubank
2025-06-28,1267.96,Lazer,Cartão,Nubank
2025-05-21,895.86,Serviços,Pix,Santander
2025-09-08,1238.8,Outros,Pix,Nubank
2025-11-03,939.64,Transporte,Dinheiro,Caixa
2025-08-14,1427.9,Moradia,Cartão,Nubank
2025-10-13,90.27,Alimentação,Cartão,Itaú
2025-10-04,566.25,Serviços,Pix,Caixa
2025-11-01,962.63,Serviços,Cartão,Itaú
2025-09-21,1474.98,Saúde,Dinheiro,Itaú
2025-08-05,1393.37,Educação,Cartão,Caixa
2025-06-20,1251.52,Moradia,Cartão,Caixa
2025-09-20,1416.55,Outros,Cartão,Caixa
2025-05-20,1374.99,Moradia,Pix,Itaú
2025-07-05,1080.65,Alimentação,Pix,Caixa
2025-06-04,24.83,Saúde,Dinheiro,Bradesco
2025-08-28,119.6,Alimentação,Dinheiro,Itaú
2025-08-09,1301.23,Serviços,Pix,Caixa
2025-11-05,645.03,Outros,Cartão,Bradesco
2025-05-23,19.96,Transporte,Cartão,Nubank
2025-06-16,496.74,Moradia,Dinheiro,Caixa
2025-05-13,1064.7,Saúde,Pix,Nubank
2025-09-13,891.49,Educação,Cartão,Bradesco
2025-08-07,120.43,Moradia,Dinheiro,Santander
2025-07-18,52.43,Serviços,Pix,Itaú
2025-11-03,480.72,Serviços,Dinheiro,Itaú
2025-05-11,1496.54,Saúde,Pix,Nubank
2025-07-27,68.84,Alimentação,Pix,Santander
2025-05-25,1261.66,Outros,Dinheiro,Caixa
2025-08-03,1231.98,Serviços,Cartão,Bradesco
2025-07-08,353.7,Lazer,Pix,Nubank
2025-06-18,465.86,Transporte,Dinheiro,Nubank
2025-10-27,72.74,Educação,Dinheiro,Nubank
2025-07-24,932.02,Educação,Cartão,Caixa
2025-07-22,829.3,Serviços,Cartão,Itaú
2025-11-03,26.78,Moradia,Dinheiro,Bradesco
2025-10-31,967.49,Outros,Cartão,Nubank
2025-09-22,1426.17,Educação,Cartão,Santander
2025-08-25,1009.08,Saúde,Pix,Itaú
2025-10-23,931.71,Moradia,Cartão,Nubank
2025-08-16,1032.83,Educação,Cartão,Caixa
2025-08-04,605.23,Moradia,Cartão,Santander
2025-10-29,1330.88,Lazer,Pix,Santander
2025-10-03,556.54,Saúde,Cartão,Caixa
2025-07-01,1327.66,Transporte,Dinheiro,Itaú
2025-05-16,1119.9,Serviços,Pix,Santander
2025-08-26,735.89,Alimentação,Dinheiro,Santander
2025-09-24,1078.33,Outros,Pix,Bradesco
2025-07-24,1008.01,Alimentação,Pix,Caixa
2025-09-13,807.44,Alimentação,Dinheiro,Caixa
2025-09-03,1344.68,Alimentação,Pix,Nubank
2025-06-19,491.67,Lazer,Cartão,Santander
2025-09-11,310.24,Lazer,Pix,Bradesco
2025-06-22,1106.21,Outros,Pix,Bradesco
2025-07-15,604.02,Outros,Cartão,Nubank
2025-09-02,679.79,Alimentação,Cartão,Nubank
2025-10-23,1209.04,Saúde,Pix,Caixa
2025-10-05,814.33,Saúde,Cartão,Itaú
2025-06-11,320.01,Serviços,Dinheiro,Nubank
2025-07-10,1325.08,Educação,Pix,Caixa
2025-10-30,436.19,Lazer,Cartão,Bradesco
2025-08-04,258.73,Lazer,Dinheiro,Santander
2025-07-16,1252.11,Moradia,Cartão,Santander
2025-06-12,34.37,Serviços,Dinheiro,Itaú
2025-10-21,999.92,Serviços,Cartão,Santander
2025-06-12,1147.69,Educação,Cartão,Santander
2025-08-25,85.37,Saúde,Pix,Itaú
2025-09-16,672.32,Moradia,Dinheiro,Santander
2025-05-14,146.44,Lazer,Cartão,Caixa
2025-08-12,58.27,Saúde,Dinheiro,Itaú
2025-10-23,216.65,Alimentação,Pix,Itaú
2025-07-09,1124.17,Educação,Pix,Itaú
2025-10-25,1326.71,Outros,Cartão,Itaú
2025-09-01,579.5,Saúde,Cartão,Caixa
2025-06-30,1075.17,Serviços,Pix,Caixa
2025-05-23,396.03,Transporte,Pix,Itaú
2025-10-30,568.44,Educação,Pix,Nubank
2025-07-07,1247.02,Transporte,Pix,Bradesco
2025-07-10,60.56,Serviços,Cartão,Itaú
2025-09-20,195.15,Transporte,Cartão,Caixa
2025-09-24,934.72,Lazer,Pix,Santander
2025-06-26,515.28,Alimentação,Pix,Santander
2025-08-28,703.43,Lazer,Dinheiro,Nubank
2025-07-26,205.79,Outros,Pix,Caixa
2025-07-30,1481.7,Saúde,Pix,Caixa
2025-06-07,609.72,Transporte,Dinheiro,Caixa
2025-09-12,195.57,Saúde,Pix,Bradesco
2025-08-15,599.28,Serviços,Dinheiro,Santander
2025-06-14,93.91,Educação,Pix,Bradesco
2025-07-13,309.84,Transporte,Pix,Nubank
2025-06-26,349.8,Lazer,Pix,Itaú
2025-07-10,843.28,Moradia,Pix,Santander
2025-06-27,798.81,Moradia,Pix,Itaú
2025-05-15,73.36,Saúde,Dinheiro,Santander
2025-07-12,323.07,Transporte,Pix,Caixa
2025-09-08,561.88,Transporte,Pix,Itaú
2025-08-08,449.87,Educação,Dinheiro,Nubank
2025-09-20,1176.64,Lazer,Pix,Santander
2025-07-01,818.75,Lazer,Cartão,Itaú
2025-10-21,586.04,Transporte,Cartão,Santander
2025-05-17,1307.23,Alimentação,Cartão,Bradesco
2025-08-31,113.77,Moradia,Cartão,Santander
2025-09-18,1277.56,Outros,Dinheiro,Bradesco
2025-07-08,774.78,Educação,Cartão,Nubank
2025-11-06,1368.86,Moradia,Pix,Caixa
2025-06-01,105.41,Moradia,Cartão,Santander
2025-05-27,475.64,Lazer,Cartão,Itaú
2025-10-18,99.26,Serviços,Cartão,Nubank
2025-07-19,369.91,Alimentação,Pix,Santander
2025-09-07,1341.16,Alimentação,Cartão,Santander
2025-07-13,553.3,Alimentação,Dinheiro,Nubank
2025-06-08,758.91,Outros,Dinheiro,Nubank
2025-07-05,274.78,Educação,Dinheiro,Bradesco
2025-09-26,642.21,Alimentação,Cartão,Caixa
2025-08-06,64.02,Saúde,Dinheiro,Itaú
2025-05-14,107.58,Alimentação,Dinheiro,Itaú
2025-09-27,1142.03,Lazer,Dinheiro,Caixa
2025-09-26,202.46,Saúde,Dinheiro,Nubank
2025-05-13,602.62,Moradia,Cartão,Santander
2025-07-01,767.05,Serviços,Cartão,Bradesco
2025-08-23,42.9,Serviços,Dinheiro,Itaú
2025-09-05,645.73,Educação,Dinheiro,Nubank
2025-08-20,237.9,Outros,Dinheiro,Bradesco
2025-10-11,598.6,Alimentação,Pix,Nubank
2025-07-05,315.28,Moradia,Pix,Itaú
2025-08-02,19.32,Outros,Pix,Bradesco
2025-08-04,475.52,Lazer,Dinheiro,Santander
2025-07-28,350.52,Transporte,Cartão,Bradesco
2025-05-12,1342.21,Lazer,Pix,Bradesco
2025-09-05,1199.68,Educação,Cartão,Nubank
2025-07-27,427.01,Outros,Pix,Bradesco
2025-09-30,1361.52,Outros,Cartão,Bradesco
2025-10-31,417.17,Lazer,Pix,Bradesco
2025-08-31,53.79,Alimentação,Cartão,Nubank
2025-07-31,377.78,Alimentação,Dinheiro,Caixa
2025-05-21,420.69,Alimentação,Cartão,Bradesco
2025-05-14,121.97,Outros,Dinheiro,Caixa
