Gasto,Categorias,Fonte Pagamento,Data,Valor,Forma Pagamento
Corrida Uber,Transporte,104.46,10/15/2025,Caixa,Dinheiro
Conta de luz,Moradia,124.83,07/06/2025,Itaú,Pix
Consulta médica,Saúde,177.28,05/27/2025,Itaú,Cartão
Aluguel,Moradia,266.61,08/28/2025,Caixa,Cartão
Internet,Serviços,288.23,09/02/2025,Itaú,Pix
Exame laboratorial,Saúde,208.52,09/06/2025,Caixa,Cartão
Lavanderia,"Serviços, Saúde",299.14,07/17/2025,Caixa,Dinheiro
Aluguel,Moradia,202.92,07/29/2025,Bradesco,Cartão
Remédio,Saúde,190.14,06/17/2025,Caixa,Pix
Curso online,Educação,115.32,06/21/2025,Santander,Dinheiro
Almoço restaurante,Alimentação,114.3,07/18/2025,Caixa,Dinheiro
Compra de livro,Educação,255.67,08/12/2025,Itaú,Cartão
Combustível,Transporte,62.49,08/14/2025,Caixa,Pix
Internet,Serviços,137.16,07/07/2025,Nubank,Cartão
Corrida Uber,Transporte,173.59,05/17/2025,Caixa,Pix
Táxi até o aeroporto,Transporte,351.76,10/07/2025,Bradesco,Pix
Corrida Uber,"Transporte, Lazer",90.06,11/03/2025,Nubank,Pix
Doação,Outros,77.41,09/29/2025,Bradesco,Dinheiro
Conta de luz,Moradia,23.09,09/20/2025,Santander,Cartão
Compra no mercado,Alimentação,288.58,09/25/2025,Caixa,Pix
Conta de luz,Moradia,88.08,08/22/2025,Nubank,Pix
Compra no mercado,Alimentação,70.81,09/04/2025,Caixa,Cartão
Consulta médica,Saúde,56.67,09/17/2025,Santander,Cartão
Táxi até o aeroporto,Transporte,131.73,08/28/2025,Nubank,Dinheiro
Telefonia,Serviços,405.83,09/13/2025,Bradesco,Dinheiro
Lavanderia,Serviços,251.95,10/13/2025,Bradesco,Dinheiro
Multa,Outros,157.73,06/18/2025,Nubank,Dinheiro
Taxa bancária,Outros,87.05,10/20/2025,Itaú,Cartão
Assinatura streaming,"Lazer, Moradia",159.61,05/16/2025,Nubank,Pix
Doação,Outros,55.98,10/30/2025,Itaú,Dinheiro
Táxi até o aeroporto,Transporte,97.99,10/30/2025,Caixa,Pix
Conta de luz,Moradia,156.46,06/20/2025,Bradesco,Pix
Multa,Outros,205.02,07/15/2025,Nubank,Cartão
Multa,Outros,142.04,10/28/2025,Nubank,Cartão
Exame laboratorial,"Saúde, Outros",36.66,07/21/2025,Bradesco,Dinheiro
Assinatura streaming,Lazer,153.81,06/29/2025,Nubank,Pix
Remédio,Saúde,177.67,06/03/2025,Santander,Pix
Taxa bancária,Outros,254.68,09/01/2025,Bradesco,Pix
Condomínio,Moradia,134.4,06/01/2025,Bradesco,Dinheiro
Passagem de ônibus,"Transporte, Lazer",124.46,10/13/2025,Nubank,Dinheiro
Multa,Outros,247.34,06/23/2025,Nubank,Cartão
Aluguel,Moradia,86.23,06/07/2025,Bradesco,Dinheiro
Doação,Outros,72.64,08/10/2025,Caixa,Cartão
Show,Lazer,202.98,09/25/2025,Caixa,Cartão
Show,"Lazer, Outros",130.65,09/30/2025,Bradesco,Cartão
Telefonia,Serviços,37.91,08/09/2025,Caixa,Cartão
Mensalidade,Educação,74.19,10/02/2025,Bradesco,Dinheiro
Jantar com amigos,Lazer,41.84,10/01/2025,Bradesco,Pix
Telefonia,Serviços,288.98,09/23/2025,Santander,Pix
Taxa bancária,Outros,126.48,08/11/2025,Santander,Cartão
Multa,Outros,265.63,05/29/2025,Itaú,Dinheiro
Multa,Outros,56.92,09/05/2025,Caixa,Pix
Cinema,Lazer,81.37,05/25/2025,Nubank,Cartão
Internet,Serviços,111.46,10/11/2025,Caixa,Dinheiro
Conta de luz,"Moradia, Educação",186.47,10/13/2025,Itaú,Dinheiro
Remédio,Saúde,121.5,11/06/2025,Bradesco,Dinheiro
Condomínio,Moradia,233.92,10/05/2025,Itaú,Cartão
Exame laboratorial,Saúde,213.96,09/29/2025,Caixa,Cartão
Curso online,Educação,13.43,11/06/2025,Caixa,Dinheiro
Consulta médica,Saúde,147.91,07/03/2025,Caixa,Pix
Corrida Uber,Transporte,135.12,08/31/2025,Caixa,Pix
Conta de luz,Moradia,281.52,08/31/2025,Santander,Cartão
Compra de livro,Educação,140.69,05/25/2025,Caixa,Dinheiro
Mensalidade,Educação,201.13,06/05/2025,Itaú,Pix
Lanchonete,Alimentação,68.06,06/03/2025,Santander,Cartão
Almoço restaurante,"Alimentação, Educação",188.57,10/14/2025,Santander,Cartão
Show,Lazer,162.31,10/15/2025,Bradesco,Dinheiro
Telefonia,Serviços,390.18,10/03/2025,Caixa,Dinheiro
Lanchonete,Alimentação,88.43,05/26/2025,Santander,Cartão
Jantar com amigos,Lazer,83.03,08/21/2025,Santander,Cartão
Internet,Serviços,226.43,05/26/2025,Itaú,Cartão
Consulta médica,Saúde,312.19,07/12/2025,Santander,Pix
Condomínio,Moradia,117.6,06/27/2025,Nubank,Dinheiro
Lavanderia,Serviços,393.83,07/08/2025,Nubank,Pix
Almoço restaurante,Alimentação,19.28,10/15/2025,Caixa,Dinheiro
Exame laboratorial,Saúde,155.84,10/07/2025,Nubank,Pix
Táxi até o aeroporto,Transporte,120.04,05/10/2025,Itaú,Dinheiro
Cinema,"Lazer, Moradia",52.03,11/03/2025,Caixa,Pix
Remédio,"Saúde, Lazer",44.3,09/22/2025,Bradesco,Pix
Condomínio,Moradia,109.96,07/28/2025,Santander,Dinheiro
Exame laboratorial,Saúde,131.73,07/29/2025,Nubank,Pix
Combustível,Transporte,273.42,06/01/2025,Nubank,Pix
Compra no mercado,Alimentação,98.71,09/03/2025,Caixa,Dinheiro
Consulta médica,Saúde,210.3,10/28/2025,Santander,Cartão
Taxa bancária,Outros,243.42,10/10/2025,Caixa,Cartão
Lanchonete,Alimentação,80.7,09/11/2025,Bradesco,Dinheiro
Exame laboratorial,Saúde,64.01,10/10/2025,Caixa,Pix
Aluguel,"Moradia, Serviços",145.16,07/11/2025,Caixa,Pix
Mensalidade,Educação,433.17,05/19/2025,Bradesco,Pix
Exame laboratorial,Saúde,144.73,09/24/2025,Nubank,Dinheiro
Multa,"Outros, Alimentação",65.72,07/09/2025,Caixa,Cartão
Almoço restaurante,Alimentação,181.37,06/29/2025,Bradesco,Dinheiro
Assinatura streaming,Lazer,367.66,06/05/2025,Itaú,Pix
Jantar com amigos,Lazer,92.23,09/26/2025,Bradesco,Cartão
Taxa bancária,Outros,86.19,11/05/2025,Santander,Cartão
Corrida Uber,Transporte,327.18,05/30/2025,Itaú,Pix
Condomínio,Moradia,161.67,10/16/2025,Santander,Dinheiro
Aluguel,Moradia,46.79,10/25/2025,Itaú,Cartão
Remédio,Saúde,126.57,06/06/2025,Caixa,Dinheiro
Lanchonete,Alimentação,195.9,07/08/2025,Nubank,Pix
Lanchonete,Alimentação,43.91,07/05/2025,Caixa,Cartão
Mensalidade,Educação,155.27,07/01/2025,Bradesco,Dinheiro
Aluguel,Moradia,121.5,06/29/2025,Caixa,Dinheiro
Lavanderia,"Serviços, Lazer",28.47,10/25/2025,Itaú,Pix
Remédio,Saúde,231.0,08/10/2025,Bradesco,Dinheiro
Telefonia,Serviços,39.79,08/06/2025,Bradesco,Pix
Compra de livro,"Educação, Outros",99.26,06/04/2025,Itaú,Cartão
Show,Lazer,24.73,08/20/2025,Bradesco,Dinheiro
Multa,Outros,182.87,06/14/2025,Nubank,Dinheiro
Remédio,Saúde,175.31,08/25/2025,Nubank,Pix
Consulta médica,Saúde,148.43,07/25/2025,Nubank,Pix
Mensalidade,Educação,10.55,06/06/2025,Itaú,Dinheiro
Exame laboratorial,Saúde,33.93,06/03/2025,Itaú,Cartão
Compra no mercado,"Alimentação, Serviços",24.39,07/26/2025,Santander,Cartão
Doação,Outros,320.72,06/11/2025,Nubank,Pix
Curso online,Educação,9.28,11/03/2025,Itaú,Dinheiro
Internet,Serviços,95.29,07/14/2025,Nubank,Pix
Combustível,Transporte,251.12,10/18/2025,Nubank,Pix
Compra de livro,Educação,106.14,07/27/2025,Santander,Pix
Passagem de ônibus,Transporte,104.83,05/25/2025,Itaú,Pix
Condomínio,Moradia,46.28,08/31/2025,Caixa,Cartão
Jantar com amigos,Lazer,83.21,07/04/2025,Nubank,Dinheiro
Multa,Outros,237.78,08/30/2025,Caixa,Dinheiro
Taxa bancária,Outros,305.44,10/30/2025,Bradesco,Pix
Show,Lazer,57.83,10/17/2025,Itaú,Cartão
Aluguel,Moradia,98.4,06/28/2025,Caixa,Dinheiro
Taxa bancária,Outros,146.95,09/12/2025,Caixa,Dinheiro
Remédio,Saúde,128.42,10/30/2025,Itaú,Pix
Assinatura streaming,Lazer,52.08,08/04/2025,Caixa,Pix
Compra no mercado,Alimentação,73.83,10/31/2025,Santander,Pix
Internet,Serviços,22.61,11/03/2025,Caixa,Cartão
Internet,Serviços,78.51,06/09/2025,Nubank,Dinheiro
Multa,Outros,68.52,10/27/2025,Caixa,Dinheiro
Almoço restaurante,Alimentação,121.74,08/03/2025,Santander,Pix
Telefonia,Serviços,431.66,11/01/2025,Bradesco,Dinheiro
Aluguel,Moradia,216.81,10/02/2025,Itaú,Pix
Condomínio,Moradia,108.74,11/06/2025,Nubank,Cartão
Assinatura streaming,Lazer,177.99,07/22/2025,Itaú,Pix
Táxi até o aeroporto,Transporte,349.2,08/09/2025,Nubank,Dinheiro
Corrida Uber,Transporte,123.46,11/05/2025,Nubank,Dinheiro
Consulta médica,Saúde,157.75,05/26/2025,Bradesco,Dinheiro
Cinema,Lazer,160.21,07/23/2025,Nubank,Cartão
Jantar com amigos,Lazer,167.55,06/28/2025,Nubank,Cartão
Internet,"Serviços, Outros",72.15,05/21/2025,Santander,Pix
Multa,"Outros, Saúde",271.04,09/08/2025,Nubank,Pix
Passagem de ônibus,Transporte,242.78,11/03/2025,Caixa,Dinheiro
Conta de luz,Moradia,197.96,08/14/2025,Nubank,Cartão
Almoço restaurante,Alimentação,238.39,10/13/2025,Itaú,Cartão
Telefonia,Serviços,180.9,10/04/2025,Caixa,Pix
Telefonia,"Serviços, Lazer",226.94,11/01/2025,Itaú,Cartão
Exame laboratorial,Saúde,191.93,09/21/2025,Itaú,Dinheiro
Curso online,"Educação, Saúde",277.49,08/05/2025,Caixa,Cartão
Aluguel,Moradia,124.01,06/20/2025,Caixa,Cartão
Taxa bancária,Outros,270.86,09/20/2025,Caixa,Cartão
Condomínio,Moradia,350.87,05/20/2025,Itaú,Pix
Almoço restaurante,Alimentação,111.41,07/05/2025,Caixa,Pix
Exame laboratorial,Saúde,205.0,06/04/2025,Bradesco,Dinheiro
Compra no mercado,"Alimentação, Saúde",186.26,08/28/2025,Itaú,Dinheiro
Telefonia,Serviços,184.97,08/09/2025,Caixa,Pix
Doação,"Outros, Alimentação",88.65,11/05/2025,Bradesco,Cartão
Corrida Uber,Transporte,3.52,05/23/2025,Nubank,Cartão
Aluguel,Moradia,91.59,06/16/2025,Caixa,Dinheiro
Consulta médica,Saúde,80.53,05/13/2025,Nubank,Pix
Curso online,Educação,100.51,09/13/2025,Bradesco,Cartão
Condomínio,Moradia,48.1,08/07/2025,Santander,Dinheiro
Lavanderia,"Serviços, Outros",70.12,07/18/2025,Itaú,Pix
Telefonia,Serviços,90.05,11/03/2025,Itaú,Dinheiro
Exame laboratorial,Saúde,60.79,05/11/2025,Nubank,Pix
Padaria,"Alimentação, Moradia",213.24,07/27/2025,Santander,Pix
Doação,Outros,94.13,05/25/2025,Caixa,Dinheiro
Lavanderia,"Serviços, Educação",226.82,08/03/2025,Bradesco,Cartão
Show,Lazer,255.97,07/08/2025,Nubank,Pix
Corrida Uber,Transporte,304.22,06/18/2025,Nubank,Dinheiro
Curso online,Educação,249.11,10/27/2025,Nubank,Dinheiro
Compra de livro,Educação,83.24,07/24/2025,Caixa,Cartão
Lavanderia,Serviços,10.5,07/22/2025,Itaú,Cartão
Conta de luz,Moradia,190.27,11/03/2025,Bradesco,Dinheiro
Multa,Outros,189.39,10/31/2025,Nubank,Cartão
Compra de livro,Educação,37.88,09/22/2025,Santander,Cartão
Remédio,"Saúde, Serviços",136.21,08/25/2025,Itaú,Pix
Aluguel,Moradia,52.67,10/23/2025,Nubank,Cartão
Compra de livro,Educação,232.05,08/16/2025,Caixa,Cartão
Aluguel,Moradia,64.58,08/04/2025,Santander,Cartão
Show,"Lazer, Moradia",68.65,10/29/2025,Santander,Pix
Remédio,"Saúde, Outros",216.4,10/03/2025,Caixa,Cartão
Corrida Uber,Transporte,198.01,07/01/2025,Itaú,Dinheiro
Internet,Serviços,150.69,05/16/2025,Santander,Pix
Almoço restaurante,Alimentação,437.54,08/26/2025,Santander,Dinheiro
Multa,"Outros, Saúde",225.39,09/24/2025,Bradesco,Pix
Almoço restaurante,Alimentação,56.23,07/24/2025,Caixa,Pix
Padaria,Alimentação,203.82,09/13/2025,Caixa,Dinheiro
Compra no mercado,Alimentação,118.36,09/03/2025,Nubank,Pix
Cinema,Lazer,211.5,06/19/2025,Santander,Cartão
Cinema,Lazer,182.2,09/11/2025,Bradesco,Pix
